Product Name,Batch name,Manufacture date,Expiry date,Verification code
LINZOLIEVA,GT220850A,22-Aug,24-Aug,313017
LINZOLIEVA,GT220850A,22-Aug,24-Aug,185687
LINZOLIEVA,GT220850A,22-Aug,24-Aug,471512
LINZOLIEVA,GT220850A,22-Aug,24-Aug,624011
LINZOLIEVA,GT220850A,22-Aug,24-Aug,556137
LINZOLIEVA,GT220850A,22-Aug,24-Aug,874187
LINZOLIEVA,GT220850A,22-Aug,24-Aug,285151
LINZOLIEVA,GT220850A,22-Aug,24-Aug,810751
LINZOLIEVA,GT220850A,22-Aug,24-Aug,482257
LINZOLIEVA,GT220850A,22-Aug,24-Aug,306007
LINZOLIEVA,GT220850A,22-Aug,24-Aug,206641
LINZOLIEVA,GT220850A,22-Aug,24-Aug,195328
LINZOLIEVA,GT220850A,22-Aug,24-Aug,129496
LINZOLIEVA,GT220850A,22-Aug,24-Aug,996273
LINZOLIEVA,GT220850A,22-Aug,24-Aug,426653
LINZOLIEVA,GT220850A,22-Aug,24-Aug,736486
LINZOLIEVA,GT220850A,22-Aug,24-Aug,774631
LINZOLIEVA,GT220850A,22-Aug,24-Aug,494919
LINZOLIEVA,GT220850A,22-Aug,24-Aug,28172
LINZOLIEVA,GT220850A,22-Aug,24-Aug,172560
LINZOLIEVA,GT220850A,22-Aug,24-Aug,575375
LINZOLIEVA,GT220850A,22-Aug,24-Aug,953348
LINZOLIEVA,GT220850A,22-Aug,24-Aug,146137
LINZOLIEVA,GT220850A,22-Aug,24-Aug,720487
LINZOLIEVA,GT220850A,22-Aug,24-Aug,84126
LINZOLIEVA,GT220850A,22-Aug,24-Aug,133469
LINZOLIEVA,GT220850A,22-Aug,24-Aug,105632
LINZOLIEVA,GT220850A,22-Aug,24-Aug,103627
LINZOLIEVA,GT220850A,22-Aug,24-Aug,353883
LINZOLIEVA,GT220850A,22-Aug,24-Aug,10793
LINZOLIEVA,GT220850A,22-Aug,24-Aug,719565
LINZOLIEVA,GT220850A,22-Aug,24-Aug,149110
LINZOLIEVA,GT220850A,22-Aug,24-Aug,100002
LINZOLIEVA,GT220850A,22-Aug,24-Aug,764598
LINZOLIEVA,GT220850A,22-Aug,24-Aug,715369
LINZOLIEVA,GT220850A,22-Aug,24-Aug,383750
LINZOLIEVA,GT220850A,22-Aug,24-Aug,606772
LINZOLIEVA,GT220850A,22-Aug,24-Aug,284604
LINZOLIEVA,GT220850A,22-Aug,24-Aug,564062
LINZOLIEVA,GT220850A,22-Aug,24-Aug,612402
LINZOLIEVA,GT220850A,22-Aug,24-Aug,835335
LINZOLIEVA,GT220850A,22-Aug,24-Aug,812058
LINZOLIEVA,GT220850A,22-Aug,24-Aug,392782
LINZOLIEVA,GT220850A,22-Aug,24-Aug,681613
LINZOLIEVA,GT220850A,22-Aug,24-Aug,659357
LINZOLIEVA,GT220850A,22-Aug,24-Aug,298502
LINZOLIEVA,GT220850A,22-Aug,24-Aug,507823
LINZOLIEVA,GT220850A,22-Aug,24-Aug,623300
LINZOLIEVA,GT220850A,22-Aug,24-Aug,786524
LINZOLIEVA,GT220850A,22-Aug,24-Aug,916663
LINZOLIEVA,GT220850A,22-Aug,24-Aug,573136
LINZOLIEVA,GT220850A,22-Aug,24-Aug,586253
LINZOLIEVA,GT220850A,22-Aug,24-Aug,732497
LINZOLIEVA,GT220850A,22-Aug,24-Aug,741233
LINZOLIEVA,GT220850A,22-Aug,24-Aug,474994
LINZOLIEVA,GT220850A,22-Aug,24-Aug,182268
LINZOLIEVA,GT220850A,22-Aug,24-Aug,928990
LINZOLIEVA,GT220850A,22-Aug,24-Aug,341629
LINZOLIEVA,GT220850A,22-Aug,24-Aug,899166
LINZOLIEVA,GT220850A,22-Aug,24-Aug,575731
LINZOLIEVA,GT220850A,22-Aug,24-Aug,325028
LINZOLIEVA,GT220850A,22-Aug,24-Aug,61756
LINZOLIEVA,GT220850A,22-Aug,24-Aug,749835
LINZOLIEVA,GT220850A,22-Aug,24-Aug,793134
LINZOLIEVA,GT220850A,22-Aug,24-Aug,408021
LINZOLIEVA,GT220850A,22-Aug,24-Aug,691993
LINZOLIEVA,GT220850A,22-Aug,24-Aug,896626
